0	-8.09032e-320
5.5	-8.09032e-320
11	-8.09032e-320
16.5	-8.09032e-320
22	-8.09032e-320
27.5	-8.09032e-320
33	-8.09032e-320
38.5	-8.09032e-320
44	-8.09032e-320
49.5	-8.09032e-320
55	-8.09032e-320
60.5	-8.09032e-320
66	-8.09032e-320
71.5	-8.09032e-320
77	-8.09032e-320
82.5	16915.5
88	15667.7
93.5	14483.8
99	13369.9
104.5	12347
110	11383.2
115.5	10489.3
121	9681.12
126.5	8913.21
132	8244.1
137.5	7608.1
143	7005.94
148.5	6478.98
154	5981.81
159.5	5543.05
165	5115.26
170.5	4751.56
176	4383.64
181.5	4045.34
187	3761.13
192.5	3498.19
198	3249.12
203.5	3015.17
209	2792.82
214.5	2611.67
220	2412.07
225.5	2247.04
231	2098.38
236.5	1965.96
242	1818.34
247.5	1705.64
253	1584.84
258.5	1485.6
264	1380.28
269.5	1298.75
275	1216.98
280.5	1137.89
286	1062.34
291.5	997.463
297	932.876
302.5	874.069
308	825.06
313.5	766.498
319	726.107
324.5	680.459
330	642.632
335.5	601.206
341	564.3
346.5	532.878
352	498.929
357.5	473.287
363	448.068
368.5	423.301
374	397.298
379.5	372.165
385	352.759
390.5	336.605
396	315.036
401.5	296.234
407	280.808
412.5	270.128
418	251.148
423.5	238.685
429	227.527
434.5	216.772
440	201.488
445.5	192.87
451	183.177
456.5	175.659
462	162.282
467.5	156.779
473	147.463
478.5	142.459
484	135.63
489.5	127.423
495	124.618
500.5	114.031
506	109.422
511.5	104.871
517	99.6678
522.5	95.6415
528	91.4948
533.5	86.7145
539	84.2217
544.5	78.1922
550	75.3517
